isin,name,review_group,review_priority,asset_type,asset_subtype,region_primary,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,risk_bucket,is_suitable_low_risk,classification_confidence,exposure_confidence,warnings,audit_flags,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
ES0133593030,"EUROBOLSA SELECCION SICAV, SA",ALL_CONFLICTS,80,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.4,0.4,,LOW_CONFIDENCE | MISSING_REGION_PRIMARY | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,,0.0,0.0,0.0,0.0
ES0162333035,Merchrenta FI,ALL_CONFLICTS,75,FIXED_INCOME,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.54,0.4,FI_UNKNOWN_SUBTYPE,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RF,RF Otros,0.0,100.0,0.0,0.0
IE00BYX5P602,Fidelity MSCI World Index Fund EUR P Acc (Hedged),ALL_CONFLICTS,70,UNKNOWN,UNKNOWN,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.4,0.4,,LOW_CONFIDENCE | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,-,0.0,0.0,0.0,0.0
LU1902444584,CPR Invest - Climate Bonds Euro - A EUR - Acc,ALL_CONFLICTS,65,FIXED_INCOME,UNKNOWN,EUROZONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.54,0.4,FI_UNKNOWN_SUBTYPE,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | UNKNOWN_SUBTYPE,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
ES0116419005,Cartera Renta Fija Horizonte 2026 FI,ALL_CONFLICTS,60,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.576,0.4,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,Otros,Fixed Term Bond,0.0,100.0,0.0,0.0
ES0138922002,Gesconsult Horizonte 2025 FI,ALL_CONFLICTS,60,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.576,0.4,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,Otros,Fixed Term Bond,0.0,100.0,0.0,0.0
ES0140986011,Gesconsult Oportunidad Renta Fija A FI,ALL_CONFLICTS,60,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.576,0.4,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,Otros,,0.0,100.0,0.0,0.0
ES0162295002,Cartera Renta Fija Horizonte 2027 FI,ALL_CONFLICTS,60,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.576,0.4,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,Otros,Fixed Term Bond,0.0,100.0,0.0,0.0
ES0162296000,Cartera Renta Fija Horizonte 2028 FI,ALL_CONFLICTS,60,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.576,0.4,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,Otros,Fixed Term Bond,0.0,100.0,0.0,0.0
LU0251131362,Fidelity Funds - Fidelity Target™ 2030 Fund A-Acc-EUR,ALL_CONFLICTS,55,FIXED_INCOME,CORPORATE_BOND,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.5184,0.4,REGION_PRIMARY_BORDERLINE,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,Otros,Fecha Objetivo 2026-2030,0.0,100.0,0.0,0.0
